"Year","State","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn","Source"
"2005","CALIFORNIA","SOLE, DOVER","4,864,053","2,206","1,793,029","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2005","CALIFORNIA","THORNYHEAD, LONGSPINE","1,101,869","500","512,497","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2005","CALIFORNIA","THORNYHEAD, SHORTSPINE","778,451","353","1,470,771","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2005","OREGON","SABLEFISH","5,833,645","2,646","8,651,092","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2005","OREGON","SOLE, DOVER","8,758,294","3,973","3,189,908","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2005","OREGON","THORNYHEAD, LONGSPINE","285,719","130","153,766","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2005","OREGON","THORNYHEAD, SHORTSPINE","595,247","270","412,758","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2005","WASHINGTON","SABLEFISH","4,207,297","1,908","7,293,715","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2005","WASHINGTON","SOLE, DOVER","1,596,365","724","568,874","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2005","WASHINGTON","THORNYHEAD, LONGSPINE","882","0","475","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2005","WASHINGTON","THORNYHEAD, SHORTSPINE","73,414","33","45,271","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2005","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2004","CALIFORNIA","SABLEFISH","3,164,512","1,435","3,726,493","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2004","CALIFORNIA","SOLE, DOVER","5,267,058","2,389","1,945,305","Public","Commercial","Microstomus pacificus","172887","PACFIN"
